resultId;raceId;driverId;constructorId;Name;date;number;grid;position;positionText;positionOrder;points;PointsAfterRace;laps;time;milliseconds;fastestLap;rank;fastestLapTime;fastestLapSpeed;statusId
24966;1052;1;131;Bahrain;28/3/2021;44;2;1;1;1;25;25;56;1:32:03.897;5523897;44;4;1:34.015;207.235;1
24967;1052;830;9;Bahrain;28/3/2021;33;1;2;2;2;18;18;56;+0.745;5524642;41;2;1:33.228;208.984;1
25348;1051;4;214;Qatar ;21/11/2021;14;3;3;3;3;15;0;57;+59.457;5127928;48;10;1:26.682;223.437;1
25349;1051;815;9;Qatar ;21/11/2021;11;11;4;4;4;12;0;57;+1:02.306;5130777;49;3;1:25.613;226.227;1
25350;1051;839;214;Qatar ;21/11/2021;31;9;5;5;5;10;0;57;+1:20.570;5149041;46;13;1:27.061;222.464;1
25351;1051;840;117;Qatar ;21/11/2021;18;12;6;6;6;8;0;57;+1:21.274;5149745;44;17;1:27.356;221.713;1
25352;1051;832;6;Qatar ;21/11/2021;55;5;7;7;7;6;0;57;+1:21.911;5150382;46;9;1:26.570;223.726;1
25353;1051;844;6;Qatar ;21/11/2021;16;13;8;8;8;4;0;57;+1:23.126;5151597;46;8;1:26.555;223.765;1
25354;1051;846;1;Qatar ;21/11/2021;4;4;9;9;9;2;0;56;\N;\N;51;4;1:25.746;225.876;11
25355;1051;20;117;Qatar ;21/11/2021;5;10;10;10;10;1;0;56;\N;\N;53;7;1:26.434;224.078;11
25356;1051;842;213;Qatar ;21/11/2021;10;2;11;11;11;0;0;56;\N;\N;46;11;1:27.019;222.572;11
25357;1051;817;1;Qatar ;21/11/2021;3;14;12;12;12;0;0;56;\N;\N;50;14;1:27.198;222.115;11
25358;1051;852;213;Qatar ;21/11/2021;22;8;13;13;13;0;0;56;\N;\N;50;12;1:27.043;222.510;11
25359;1051;8;51;Qatar ;21/11/2021;7;16;14;14;14;0;0;56;\N;\N;53;6;1:26.358;224.275;11
25360;1051;841;51;Qatar ;21/11/2021;99;18;15;15;15;0;0;56;\N;\N;40;18;1:27.823;220.534;11
25361;1051;854;210;Qatar ;21/11/2021;47;19;16;16;16;0;0;56;\N;\N;46;19;1:28.412;219.065;11
25362;1051;847;3;Qatar ;21/11/2021;63;15;17;17;17;0;0;55;\N;\N;55;5;1:25.768;225.818;12
25363;1051;853;210;Qatar ;21/11/2021;9;20;18;18;18;0;0;55;\N;\N;55;16;1:27.340;221.754;12
25364;1051;849;3;Qatar ;21/11/2021;6;17;\N;R;19;0;0;50;\N;\N;44;20;1:28.732;218.275;29
25365;1051;822;131;Qatar ;21/11/2021;77;6;\N;R;20;0;0;48;\N;\N;39;15;1:27.246;221.992;137
24968;1052;822;131;Bahrain;28/3/2021;77;3;3;3;3;16;0;56;+37.383;5561280;56;1;1:32.090;211.566;1
