qualifyId;raceId;driverId;constructorId;number;position;q1;q2;q3
8735;1052;830;9;33;1;1:30.499;1:30.318;1:28.997
8736;1052;1;131;44;2;1:30.617;1:30.085;1:29.385
8737;1052;822;131;77;3;1:31.200;1:30.186;1:29.586
8738;1052;844;6;16;4;1:30.691;1:30.010;1:29.678
8739;1052;842;213;10;5;1:30.848;1:30.513;1:29.809
8740;1052;817;1;3;6;1:30.795;1:30.222;1:29.927
8741;1052;846;1;4;7;1:30.902;1:30.099;1:29.974
8742;1052;832;6;55;8;1:31.653;1:30.009;1:30.215
8743;1052;4;214;14;9;1:30.863;1:30.595;1:30.249
8744;1052;840;117;18;10;1:31.261;1:30.624;1:30.601
8745;1052;815;9;11;11;1:31.165;1:30.659;\N
8746;1052;841;51;99;12;1:30.998;1:30.708;\N
8747;1052;852;213;22;13;1:30.607;1:31.203;\N
8748;1052;8;51;7;14;1:31.547;1:31.238;\N
8749;1052;847;3;63;15;1:31.316;1:33.430;\N
8750;1052;839;214;31;16;1:31.724;\N;\N
8751;1052;849;3;6;17;1:31.936;\N;\N
8752;1052;20;117;5;18;1:32.056;\N;\N
8753;1052;854;210;47;19;1:32.449;\N;\N
8754;1052;853;210;9;20;1:33.273;\N;\N
8755;1053;1;131;44;1;1:14.823;1:14.817;1:14.411
8756;1053;815;9;11;2;1:15.395;1:14.716;1:14.446
8757;1053;830;9;33;3;1:15.109;1:14.884;1:14.498
8758;1053;844;6;16;4;1:15.413;1:14.808;1:14.740
8759;1053;842;213;10;5;1:15.548;1:14.927;1:14.790
8760;1053;817;1;3;6;1:15.669;1:15.033;1:14.826
8761;1053;846;1;4;7;1:15.009;1:14.718;1:14.875
8762;1053;822;131;77;8;1:14.672;1:14.905;1:14.898
8763;1053;839;214;31;9;1:15.385;1:15.117;1:15.210
8764;1053;840;117;18;10;1:15.522;1:15.138;\N
8765;1053;832;6;55;11;1:15.406;1:15.199;\N
8766;1053;847;3;63;12;1:15.826;1:15.261;\N
8767;1053;20;117;5;13;1:15.459;1:15.394;\N
8768;1053;849;3;6;14;1:15.653;1:15.593;\N
8769;1053;4;214;14;15;1:15.832;1:15.593;\N
8770;1053;8;51;7;16;1:15.974;\N;\N
8771;1053;841;51;99;17;1:16.122;\N;\N
8772;1053;854;210;47;18;1:16.279;\N;\N
8773;1053;853;210;9;19;1:16.797;\N;\N
8774;1053;852;213;22;20;\N;\N;\N
8775;1054;822;131;77;1;1:18.722;1:18.458;1:18.348
8776;1054;1;131;44;2;1:18.857;1:17.968;1:18.355
8777;1054;830;9;33;3;1:19.485;1:18.650;1:18.746
8778;1054;815;9;11;4;1:19.337;1:18.845;1:18.890
8779;1054;832;6;55;5;1:19.309;1:18.813;1:19.039
8780;1054;839;214;31;6;1:19.092;1:18.586;1:19.042
8781;1054;846;1;4;7;1:18.794;1:18.481;1:19.116
8782;1054;844;6;16;8;1:19.373;1:18.769;1:19.306
8783;1054;842;213;10;9;1:19.464;1:19.052;1:19.475
8784;1054;20;117;5;10;1:19.403;1:18.970;1:19.659
8785;1054;847;3;63;11;1:19.797;1:19.109;\N
8786;1054;841;51;99;12;1:19.410;1:19.216;\N
8787;1054;4;214;14;13;1:19.728;1:19.456;\N
8788;1054;852;213;22;14;1:19.684;1:19.463;\N
8789;1054;8;51;7;15;1:19.748;1:19.812;\N
8790;1054;817;1;3;16;1:19.839;\N;\N
8791;1054;840;117;18;17;1:19.913;\N;\N
8792;1054;849;3;6;18;1:20.285;\N;\N
8793;1054;854;210;47;19;1:20.452;\N;\N
8794;1054;853;210;9;20;1:20.912;\N;\N
8795;1055;1;131;44;1;1:18.245;1:17.166;1:16.741
8796;1055;830;9;33;2;1:18.090;1:16.922;1:16.777
8797;1055;822;131;77;3;1:18.005;1:17.142;1:16.873
8798;1055;844;6;16;4;1:18.041;1:17.717;1:17.510
8799;1055;839;214;31;5;1:18.281;1:17.743;1:17.580
8800;1055;832;6;55;6;1:18.205;1:17.656;1:17.620
8801;1055;817;1;3;7;1:18.264;1:17.719;1:17.622
8802;1055;815;9;11;8;1:18.203;1:17.669;1:17.701
8803;1055;846;1;4;9;1:17.821;1:17.696;1:18.010
8804;1055;4;214;14;10;1:18.281;1:17.966;1:18.147
8805;1055;840;117;18;11;1:18.241;1:17.974;\N
8806;1055;842;213;10;12;1:18.190;1:17.982;\N
8807;1055;20;117;5;13;1:18.289;1:18.079;\N
8808;1055;841;51;99;14;1:18.549;1:18.356;\N
8809;1055;847;3;63;15;1:18.445;1:19.154;\N
8810;1055;852;213;22;16;1:18.556;\N;\N
8811;1055;8;51;7;17;1:18.917;\N;\N
8812;1055;854;210;47;18;1:19.117;\N;\N
8813;1055;849;3;6;19;1:19.219;\N;\N
8814;1055;853;210;9;20;1:19.807;\N;\N
8815;1056;844;6;16;1;1:11.113;1:10.597;1:10.346
8816;1056;830;9;33;2;1:11.124;1:10.650;1:10.576
8817;1056;822;131;77;3;1:10.938;1:10.695;1:10.601
8818;1056;832;6;55;4;1:11.324;1:10.806;1:10.611
8819;1056;846;1;4;5;1:11.321;1:11.031;1:10.620
8820;1056;842;213;10;6;1:11.560;1:11.179;1:10.900
8821;1056;1;131;44;7;1:11.622;1:11.116;1:11.095
8822;1056;20;117;5;8;1:12.078;1:11.309;1:11.419
8823;1056;815;9;11;9;1:11.644;1:11.019;1:11.573
8824;1056;841;51;99;10;1:11.658;1:11.409;1:11.779
8825;1056;839;214;31;11;1:11.740;1:11.486;\N
8826;1056;817;1;3;12;1:11.747;1:11.598;\N
8827;1056;840;117;18;13;1:11.979;1:11.600;\N
8828;1056;8;51;7;14;1:11.899;1:11.642;\N
8829;1056;847;3;63;15;1:12.016;1:11.830;\N
8830;1056;852;213;22;16;1:12.096;\N;\N
8831;1056;4;214;14;17;1:12.205;\N;\N
8832;1056;849;3;6;18;1:12.366;\N;\N
8833;1056;853;210;9;19;1:12.958;\N;\N
8834;1057;844;6;16;1;1:42.241;1:41.659;1:41.218
8835;1057;1;131;44;2;1:41.545;1:41.634;1:41.450
8836;1057;830;9;33;3;1:41.760;1:41.625;1:41.563
